batchYear,number,batchName,typeID,costOfBatch,sorter,costOfBatchBefore,costOfBatchNew,costOfBatchLabor,_id,__v
67,1,เม็ดพม่าเผา-1-67,"[""677caf47f8f80d75f8a7c980""]",0,2,0,0,0,67a966a03a9555ed9cfa6ed0,0
68,1,หมู่พม่าเผา-หมู่พม่าเผา-67-68-68(F),"[""67ce92bef072a3a4b157d976""]",0,4,0,0,0,67ce94e7f072a3a4b157dad9,0
68,1,เล็กโมซัมบิกเผา-หมู่โมซัมบิกมาบูจู้-67-68-68(F),"[""67ce92e0f072a3a4b157d9ca""]",0,5,0,0,0,67ce985ff072a3a4b157e1e7,0
68,1,หมู่โมซัมบิกเผา-หมู่โมซัมบิกบ่อแดง-67-68-68(F),"[""67ce92c8f072a3a4b157d992""]",0,6,0,0,0,67cea2c2c1b9ec0318583953,0
68,1,เม็ดโมซัมบิกเผา-เม็ดโมซัมบิกบ่อแดง-67-68-68(F),"[""67ce92adf072a3a4b157d95a""]",0,7,0,0,0,67cea6fdc1b9ec031858505b,0
68,1,เล็กโมซัมบิกเผา-หมู่โมซัมบิกบ่อแดง-67-68-68(F),"[""67ce92e0f072a3a4b157d9ca"",""68918c3bd3d41f5072a35314""]",0,8,0,0,0,67cea957c1b9ec03185859cf,0
68,1,หมู่โมซัมบิกเผา-หมู่โมซัมบิกมาบูจู้-67-68-68(F),"[""67ce92c8f072a3a4b157d992""]",0,9,0,0,0,67ceaa28c1b9ec0318585d46,0
68,1,หมู่พม่าเผา-หมู่พม่าเผาพลอยเก่าขายปี68(F),"[""67ce92bef072a3a4b157d976""]",0,10,0,0,0,67ceac62c1b9ec0318586629,0
68,1,เล็กพม่าเผา-เล็กพม่าเผาพลอยเก่าขายปี68(F),"[""67ce92d4f072a3a4b157d9ae""]",0,11,0,0,0,67ceace9c1b9ec03185868c9,0
68,3,เม็ดพม่าเผา-3-68,"[""67ce929af072a3a4b157d93e""]",0,12,0,0,0,681c36eb975f932a123ea371,0
68,4,เม็ดพม่าเผา-4-68,"[""67ce929af072a3a4b157d93e""]",0,13,0,0,0,681c38193c0bba8f1987b333,0
68,1,เม็ดพม่าเผา-1-68,"[""67ce929af072a3a4b157d93e"",""67ce92a4f072a3a4b157d94c""]",0,13,0,0,0,68243d08fdf247c6ee127824,0
68,1,เม็ดพม่าเผา-1-68-test,"[""67ce929af072a3a4b157d93e""]",300,14,100,100,100,68243dcbfdf247c6ee1278f5,0
68,2,เม็ดพม่าเผา-2-68,"[""67ce929af072a3a4b157d93e""]",3300,14,100,200,3000,68245d6dc88fd33218b29b77,0
68,2,เม็ดโมซัมบิกเผา-2-68,"[""67ce92adf072a3a4b157d95a""]",0,15,0,0,0,68287ca4e13880c8038fa95f,0
68,5,เม็ดพม่าเผา-5-68,"[""67ce929af072a3a4b157d93e""]",5000,16,2000,2000,1000,682c1b788da57138c5865e44,0
68,5,เม็ดพม่าเผา-5.5-68,"[""67ce929af072a3a4b157d93e""]",0,17,0,0,0,682c1c568da57138c5866261,0
68,5,เม็ดโมซัมบิกเผา-5-68,"[""67ce92adf072a3a4b157d95a""]",5000,18,2000,2000,1000,682d4a02fc6de1284ba57173,0
68,5,เม็ดโมซัมบิกเผา-5.5-68,"[""67ce92adf072a3a4b157d95a""]",0,19,0,0,0,682d4a0dfc6de1284ba57180,0
68,1,เม็ดพม่า-1-68,"[""67ce929af072a3a4b157d93e""]",6,1,1,2,3,678f3111c996ede64c957f18,0
68,2,เม็ดพม่าดิบ-2-68,"[""677caf5cf8f80d75f8a7c99c""]",0,3,0,0,0,67b4177a8f1bc7fef72d9b52,0
68,3,เม็ดพม่าเผา-3-68,"[""67ce929af072a3a4b157d93e""]",0,12,0,0,0,681c36276c43cb598d17063d,0
68,4,เม็ดพม่าเผา-4-68,"[""67ce929af072a3a4b157d93e""]",0,13,0,0,0,681c3943e6fd399545c9f9b7,0
68,2,หมู่โมซัมบิกเผา-2-68,"[""67ce92adf072a3a4b157d95a"",""67ce92c8f072a3a4b157d992"",""67ce92e0f072a3a4b157d9ca""]",0,14,0,0,0,681c3b3de6fd399545c9fd67,0
68,7,เม็ดพม่าเผา-7-68,"[""67ce929af072a3a4b157d93e"",""67ce92bef072a3a4b157d976""]",0,15,0,0,0,6824235064829d95a00c4dd1,0
