gradeName,sorter,_id,__v,sorter.bytes,sorter.bytes.0,sorter.bytes.1,sorter.bytes.2,sorter.bytes.3,sorter.bytes.4,sorter.bytes.5,sorter.bytes.6,sorter.bytes.7,sorter.bytes.8,sorter.bytes.9,sorter.bytes.10,sorter.bytes.11,sorter.bytes.12,sorter.bytes.13,sorter.bytes.14,sorter.bytes.15,sorter.$numberDecimal
พ,1,67ce9343f072a3a4b157da09,0,,,,,,,,,,,,,,,,,,
1-1,2,67ce93baf072a3a4b157da0e,0,,,,,,,,,,,,,,,,,,
2-1บ,3,67ce93c2f072a3a4b157da13,0,,,,,,,,,,,,,,,,,,
1.5ดี,4,67ce93cff072a3a4b157da18,0,,,,,,,,,,,,,,,,,,
2-1ล,5,67ce93f3f072a3a4b157da1d,0,,,,,,,,,,,,,,,,,,
ดำดี,6,67ce93fef072a3a4b157da22,0,,,,,,,,,,,,,,,,,,
2-2,7,67ce9403f072a3a4b157da27,0,,,,,,,,,,,,,,,,,,
2-3บ,8,67ce940bf072a3a4b157da2c,0,,,,,,,,,,,,,,,,,,
2-3ล,9,67ce9413f072a3a4b157da31,0,,,,,,,,,,,,,,,,,,
2-4,10,67ce9419f072a3a4b157da36,0,,,,,,,,,,,,,,,,,,
3-1,11,67ce941ef072a3a4b157da3b,0,,,,,,,,,,,,,,,,,,
พศ,12,67ce9425f072a3a4b157da40,0,,,,,,,,,,,,,,,,,,
1.5,13,67ce942cf072a3a4b157da45,0,,,,,,,,,,,,,,,,,,
เข้ม,14,67ce9436f072a3a4b157da4a,0,,,,,,,,,,,,,,,,,,
หัวขถ,15,67ce943ff072a3a4b157da4f,0,,,,,,,,,,,,,,,,,,
ขถ,16,67ce9445f072a3a4b157da54,0,,,,,,,,,,,,,,,,,,
1.5บน,17,67ce9796f072a3a4b157df43,0,,,,,,,,,,,,,,,,,,
1-3,18,67ce98b6f072a3a4b157e247,0,,,,,,,,,,,,,,,,,,
1-2,2.2,67cea365c1b9ec0318583bbc,0,,,,,,,,,,,,,,,,,,
test,,67f4a749b3d5a28e6d0fdede,0,,,,,,,,,,,,,,,,,,2001-03-01T17:00:00.000Z
1-4,2.4,6864a758325a7d22ddad1a1b,0,,,,,,,,,,,,,,,,,,
3-2,6,6864a832325a7d22ddad1bdb,0,,,,,,,,,,,,,,,,,,
3-3,7,6864aaaf325a7d22ddad1c51,0,,,,,,,,,,,,,,,,,,
4-1,8,6864aade325a7d22ddad1cb7,0,,,,,,,,,,,,,,,,,,
4-2,9,6864afb3325a7d22ddad1d0a,0,,,,,,,,,,,,,,,,,,
1ดำ,10,6864b027325a7d22ddad1d5e,0,,,,,,,,,,,,,,,,,,
2ดำ,11.1,6864b041325a7d22ddad1da5,0,,,,,,,,,,,,,,,,,,
ม่วง,33,6864b136325a7d22ddad1edc,0,,,,,,,,,,,,,,,,,,
ขถ.ชมพู,34,6864b16b325a7d22ddad1f38,0,,,,,,,,,,,,,,,,,,
ขถ.แดง,35,686de498cd4af51ab96c4504,0,,,,,,,,,,,,,,,,,,
อ่อน,41,686f7ff0b37fbd6385d679e1,0,,,,,,,,,,,,,,,,,,
พพ,,686f801bb37fbd6385d67a57,0,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,62,48,
พพพ,,686f8318b37fbd6385d67f08,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,62,48,
ส้ม,44,686f83c5b37fbd6385d68082,0,,,,,,,,,,,,,,,,,,
2-2บ,3.2,68771e3e26c2cdc92d338480,0,,,,,,,,,,,,,,,,,,
พิเศษสวย,,68bfa4163f84eed10474700c,0,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,64,48,
1ดำล่าง,,68bfa4313f84eed104747019,0,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,64,48,
1บน,37,68c0f9f541be66dd76cd8392,0,,,,,,,,,,,,,,,,,,
ลบ1,38,68c0fd2e41be66dd76cd89a7,0,,,,,,,,,,,,,,,,,,
ลบ2,39,68c0fd3341be66dd76cd89ae,0,,,,,,,,,,,,,,,,,,
พศ.รอง,40,68cb7e9e31b6322182087ab7,0,,,,,,,,,,,,,,,,,,
แดง,41,68f85e0cee56fba1b1f3f7d9,0,,,,,,,,,,,,,,,,,,
ช.พ.,42,68f85e14ee56fba1b1f3f7e0,0,,,,,,,,,,,,,,,,,,
1-1อ่อน,43,68f85e1aee56fba1b1f3f7e7,0,,,,,,,,,,,,,,,,,,
พิเศษ,45,68f86779ee56fba1b1f40e4b,0,,,,,,,,,,,,,,,,,,
ขถ.แดงชมพู,45,68fefa602caf2c7edad22395,0,,,,,,,,,,,,,,,,,,
