batchID,typeID,sizeID,gradeID,cost,addStock,comment,stockDate,sorter,_id,__v
67ceac62c1b9ec0318586629,67ce92bef072a3a4b157d976,67ce89b00a66069219aecb55,67ce9343f072a3a4b157da09,1000,10,,2025-03-27T04:47:17.000Z,1,67e4d855ca9dc192a6e06ac8,0
67ceac62c1b9ec0318586629,67ce92bef072a3a4b157d976,67ce89b00a66069219aecb55,67ce9343f072a3a4b157da09,1000,10,,2025-03-27T04:49:14.000Z,2,67e4d8ca152e156aa43ffcf8,0
67ceac62c1b9ec0318586629,67ce92bef072a3a4b157d976,67ce89b00a66069219aecb55,67ce9343f072a3a4b157da09,1000,10,,2025-03-27T04:53:28.000Z,3,67e4d9c82fc9293fc890ecac,0
67ceac62c1b9ec0318586629,67ce92bef072a3a4b157d976,67ce89b00a66069219aecb55,67ce9343f072a3a4b157da09,1000,10,,2025-03-27T04:55:14.000Z,4,67e4da32a48eb17cbcba30f3,0
67ceac62c1b9ec0318586629,67ce92bef072a3a4b157d976,67ce89b00a66069219aecb55,67ce9343f072a3a4b157da09,1000,10,,2025-03-27T04:55:44.000Z,5,67e4da50a48eb17cbcba3272,0
67ceaa28c1b9ec0318585d46,67ce92c8f072a3a4b157d992,67ce893a0a66069219aecafa,67ce93baf072a3a4b157da0e,16250,100,,2025-05-14T16:29:29.000Z,6,6824c4e983149168aa41f975,0
67ceaa28c1b9ec0318585d46,67ce92c8f072a3a4b157d992,67ce893a0a66069219aecafa,67ce93cff072a3a4b157da18,10400,100,,2025-05-14T16:34:46.000Z,7,6824c6263e0d76d5e80769c0,0
68245d6dc88fd33218b29b77,67ce929af072a3a4b157d93e,678f2957c996ede64c957eb2,67ce93baf072a3a4b157da0e,1000,100,,2025-05-14T17:23:22.000Z,8,6824d18a669287326f9df2ab,0
682c1b788da57138c5865e44,67ce929af072a3a4b157d93e,678f2957c996ede64c957eb2,67ce9343f072a3a4b157da09,500,10,,2025-05-20T06:07:42.000Z,9,682c1c2e8da57138c586617f,0
682d4a02fc6de1284ba57173,67ce92adf072a3a4b157d95a,678f2957c996ede64c957eb2,67ce93baf072a3a4b157da0e,4000,20,,2025-05-26T02:56:43.000Z,10,6833d86b6feb2ea65b806482,0
682c1c568da57138c5866261,67ce929af072a3a4b157d93e,678f2957c996ede64c957eb2,67ce9343f072a3a4b157da09,500,33,,2025-05-26T05:01:35.000Z,11,6833f5afa28d78757fcd21c9,0
682c1b788da57138c5865e44,67ce929af072a3a4b157d93e,678f2957c996ede64c957eb2,67ce9343f072a3a4b157da09,500,5,,2025-05-26T05:02:48.000Z,12,6833f5f8a28d78757fcd23b2,0
67ceac62c1b9ec0318586629,67ce92bef072a3a4b157d976,67ce89b00a66069219aecb55,67ce9343f072a3a4b157da09,1000,100,,2025-06-23T05:03:09.000Z,13,6858e00d32d32b0400511e0c,0
67cea957c1b9ec03185859cf,67ce92e0f072a3a4b157d9ca,67ce8a220a66069219aecbaa,67ce93baf072a3a4b157da0e,123,66666,,2025-08-15T02:39:29.000Z,14,689e9de12709bf7f2fbf302f,0
67ceace9c1b9ec03185868c9,67ce92d4f072a3a4b157d9ae,67ce8a220a66069219aecbaa,67ce93baf072a3a4b157da0e,555,125,,2025-08-15T02:40:35.000Z,15,689e9e232709bf7f2fbf31b7,0
67ce985ff072a3a4b157e1e7,67ce92e0f072a3a4b157d9ca,67ce8a220a66069219aecbaa,67ce93baf072a3a4b157da0e,123,898,,2025-08-15T02:40:48.000Z,16,689e9e302709bf7f2fbf3295,0
67cea2c2c1b9ec0318583953,67ce92c8f072a3a4b157d992,67ce893a0a66069219aecafa,67ce93baf072a3a4b157da0e,16250,100,,2025-03-25T08:41:37.000Z,1,67e26c414bbed73dc1c798c8,0
67ceaa28c1b9ec0318585d46,67ce92c8f072a3a4b157d992,67ce893a0a66069219aecafa,67ce93baf072a3a4b157da0e,16250,10,,2025-03-26T02:18:59.000Z,2,67e36413008ed8a085289f4f,0
67ceaa28c1b9ec0318585d46,67ce92c8f072a3a4b157d992,67ce893a0a66069219aecafa,67ce9403f072a3a4b157da27,5050,20,,2025-03-26T02:20:25.000Z,3,67e36469008ed8a08528a00d,0
67cea6fdc1b9ec031858505b,67ce92adf072a3a4b157d95a,678f2957c996ede64c957eb2,67ce93baf072a3a4b157da0e,40000,3,,2025-05-14T04:23:53.000Z,4,68241ad964829d95a00c4393,0
67cea6fdc1b9ec031858505b,67ce92adf072a3a4b157d95a,678f2957c996ede64c957eb2,67ce93baf072a3a4b157da0e,40000,6,,2025-05-14T04:24:38.000Z,5,68241b0664829d95a00c443d,0
67cea6fdc1b9ec031858505b,67ce92adf072a3a4b157d95a,678f2957c996ede64c957eb2,67ce93baf072a3a4b157da0e,50000,2,,2025-05-14T04:25:08.000Z,6,68241b2464829d95a00c4512,0
67cea6fdc1b9ec031858505b,67ce92adf072a3a4b157d95a,678f2957c996ede64c957eb2,67ce93baf072a3a4b157da0e,50000,4,,2025-05-14T04:25:47.000Z,7,68241b4b64829d95a00c45af,0
